id,year,exam,session,field,branch,subject,topic,subtopic,question_no,question_count,difficulty_level,is_common,source_type,source_note,confidence_score,label_note
79,2020,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
80,2020,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,4,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
81,2020,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,5,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
82,2019,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2019 TYT konu dağılımı (universitego.com),0.95,
83,2019,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2019 TYT konu dağılımı (universitego.com),0.95,
84,2019,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2019 TYT konu dağılımı (universitego.com),0.95,
85,2019,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,4,1,MEDIUM,true,WEB_SCRAPED,2019 TYT konu dağılımı (universitego.com),0.95,
86,2018,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2018 TYT konu dağılımı (universitego.com),0.95,
87,2018,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2018 TYT konu dağılımı (universitego.com),0.95,
88,2018,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2018 TYT konu dağılımı (universitego.com),0.95,
89,2018,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,4,1,MEDIUM,true,WEB_SCRAPED,2018 TYT konu dağılımı (universitego.com),0.95,
90,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
91,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
92,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
93,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
94,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,5,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
95,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,6,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
96,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,7,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
97,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,8,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
98,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,9,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
99,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,10,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
100,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,11,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
101,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,12,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
102,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,13,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
103,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,14,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
104,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,15,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
105,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,16,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
106,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,17,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
107,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,18,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
108,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,19,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
109,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,20,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
110,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,21,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
111,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
112,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
113,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
114,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
115,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,5,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
116,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,6,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
117,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,7,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
118,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,8,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
119,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,9,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
120,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,10,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
121,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,11,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
122,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,12,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
123,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,13,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
124,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,14,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
125,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,15,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
126,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,16,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
127,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,17,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
128,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,18,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
129,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,19,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
130,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,20,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
131,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,21,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
132,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,22,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
133,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,23,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
134,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
135,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
136,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
137,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
138,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,5,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
139,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,6,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
140,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,7,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
141,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,8,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
142,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,9,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
143,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,10,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
144,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,11,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
145,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,12,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
146,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,13,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
147,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,14,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
148,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,15,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
149,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,16,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
150,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,17,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
151,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,18,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
152,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafta Anlam,,19,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
